,0
0,90.0
1,92.0
2,91.0
3,92.0
4,92.0
5,87.0
6,94.0
7,90.0
8,91.0
9,91.0
10,89.0
11,95.0
12,92.0
13,92.0
14,93.0
15,93.0
16,92.0
17,89.0
18,94.0
19,90.0
20,93.0
21,90.0
22,91.0
23,90.0
24,92.0
25,92.0
26,90.0
27,93.0
28,92.0
29,90.0
30,92.0
31,92.0
32,93.0
33,91.0
34,90.0
35,95.0
36,91.0
37,94.0
38,93.0
39,92.0
40,90.0
41,92.0
42,91.0
43,92.0
44,91.0
45,90.0
46,95.0
47,91.0
48,92.0
49,91.0
50,92.0
51,92.0
52,93.0
53,94.0
54,93.0
55,91.0
56,94.0
57,92.0
58,92.0
59,93.0
60,93.0
61,90.0
62,90.0
63,93.0
64,90.0
65,92.0
66,91.0
67,96.0
68,90.0
69,91.0
70,91.0
71,92.0
72,92.0
73,94.0
74,91.0
75,93.0
76,94.0
77,91.0
78,92.0
79,89.0
80,95.0
81,92.0
82,92.0
83,91.0
84,93.0
85,91.0
86,91.0
87,90.0
88,92.0
89,95.0
90,92.0
91,92.0
92,93.0
93,90.0
94,91.0
95,92.0
96,92.0
97,93.0
98,93.0
99,90.0
100,94.0
101,94.0
102,93.0
103,92.0
104,96.0
105,92.0
106,94.0
107,95.0
108,91.0
109,91.0
110,95.0
111,93.0
112,91.0
113,91.0
114,94.0
115,94.0
116,94.0
117,92.0
118,93.0
119,91.0
120,91.0
121,93.0
122,92.0
123,91.0
124,92.0
125,93.0
126,91.0
127,93.0
128,88.0
129,90.0
130,90.0
131,93.0
132,91.0
133,90.0
134,93.0
135,92.0
136,92.0
137,92.0
138,90.0
139,91.0
140,94.0
141,95.0
142,93.0
143,95.0
144,94.0
145,92.0
146,91.0
147,90.0
148,92.0
149,93.0
150,96.0
151,89.0
152,92.0
153,93.0
154,90.0
155,93.0
156,93.0
157,94.0
158,89.0
159,91.0
160,91.0
161,92.0
162,94.0
163,92.0
164,91.0
165,93.0
166,92.0
167,94.0
168,90.0
169,92.0
170,94.0
171,91.0
172,93.0
173,91.0
174,91.0
175,94.0
176,89.0
177,92.0
178,91.0
179,90.0
180,92.0
181,91.0
182,94.0
183,90.0
184,92.0
185,93.0
186,94.0
187,91.0
188,95.0
189,92.0
190,93.0
191,88.0
192,93.0
193,94.0
194,91.0
195,95.0
196,89.0
197,92.0
198,92.0
199,93.0
200,91.0
201,91.0
202,94.0
203,94.0
204,91.0
205,91.0
206,91.0
207,94.0
208,93.0
209,92.0
210,92.0
211,93.0
212,92.0
213,92.0
214,95.0
215,91.0
216,91.0
217,92.0
218,89.0
219,93.0
220,92.0
221,93.0
222,93.0
223,92.0
224,93.0
225,89.0
226,90.0
227,91.0
228,90.0
229,93.0
230,92.0
231,91.0
232,92.0
233,94.0
234,93.0
235,94.0
236,89.0
237,91.0
238,94.0
239,92.0
240,92.0
241,91.0
242,93.0
243,92.0
244,92.0
245,92.0
246,96.0
247,92.0
248,93.0
249,93.0
250,92.0
251,92.0
252,91.0
253,91.0
254,90.0
255,94.0
256,90.0
257,93.0
258,93.0
259,92.0
260,95.0
261,89.0
262,92.0
263,90.0
264,91.0
265,91.0
266,91.0
267,92.0
268,92.0
269,92.0
270,91.0
271,92.0
272,93.0
273,93.0
274,93.0
275,90.0
276,94.0
277,92.0
278,94.0
279,91.0
280,92.0
281,92.0
282,90.0
283,92.0
284,90.0
285,94.0
286,90.0
287,90.0
288,92.0
289,91.0
290,90.0
291,93.0
292,93.0
293,90.0
294,91.0
295,93.0
296,92.0
297,91.0
298,92.0
299,93.0
300,93.0
301,93.0
302,92.0
303,92.0
304,90.0
305,94.0
306,94.0
307,90.0
308,93.0
309,92.0
310,94.0
311,93.0
