,0
0,181.0
1,208.0
2,156.0
3,182.0
4,180.0
5,205.0
6,182.0
7,172.0
8,192.0
9,191.0
10,188.0
11,161.0
12,198.0
13,186.0
14,164.0
15,192.0
16,173.0
17,174.0
18,198.0
19,201.0
20,177.0
21,185.0
22,181.0
23,203.0
24,176.0
25,170.0
26,195.0
27,180.0
28,184.0
29,185.0
30,186.0
31,174.0
32,194.0
33,199.0
34,205.0
35,179.0
36,188.0
37,172.0
38,173.0
39,155.0
40,196.0
41,177.0
42,188.0
43,195.0
44,179.0
45,185.0
46,186.0
47,201.0
48,206.0
49,173.0
50,200.0
51,187.0
52,193.0
53,204.0
54,194.0
55,205.0
56,189.0
57,185.0
58,173.0
59,194.0
60,200.0
61,186.0
62,189.0
63,179.0
64,174.0
65,191.0
66,206.0
67,178.0
68,178.0
69,172.0
70,189.0
71,195.0
72,203.0
73,176.0
74,196.0
75,169.0
76,183.0
77,187.0
78,211.0
79,200.0
80,175.0
81,194.0
82,204.0
83,200.0
84,188.0
85,193.0
86,201.0
87,190.0
88,174.0
89,162.0
90,167.0
91,191.0
92,167.0
93,186.0
94,193.0
95,190.0
96,203.0
97,206.0
98,212.0
99,188.0
100,184.0
101,194.0
102,156.0
103,185.0
104,191.0
105,165.0
106,194.0
107,187.0
108,186.0
109,192.0
110,203.0
111,184.0
112,197.0
113,199.0
114,172.0
115,178.0
116,197.0
117,195.0
118,197.0
119,178.0
120,169.0
121,164.0
122,176.0
123,180.0
124,197.0
125,184.0
126,194.0
127,173.0
128,188.0
129,213.0
130,222.0
131,191.0
132,187.0
133,194.0
134,187.0
135,186.0
136,185.0
137,174.0
138,170.0
139,168.0
140,208.0
141,174.0
142,183.0
143,184.0
144,190.0
145,170.0
146,192.0
147,206.0
148,196.0
149,182.0
150,186.0
151,188.0
152,189.0
153,177.0
154,162.0
155,194.0
156,201.0
157,184.0
158,173.0
159,201.0
160,180.0
161,184.0
162,189.0
163,189.0
164,198.0
165,188.0
166,172.0
167,178.0
168,183.0
169,191.0
170,218.0
171,179.0
172,164.0
173,209.0
174,209.0
175,174.0
176,177.0
177,196.0
178,202.0
179,150.0
180,174.0
181,200.0
182,206.0
183,184.0
184,193.0
185,186.0
186,192.0
187,169.0
188,185.0
189,174.0
190,174.0
191,185.0
192,193.0
193,183.0
194,187.0
