,0
0,245.0
1,246.0
2,243.0
3,243.0
4,246.0
5,244.0
6,244.0
7,244.0
8,242.0
9,243.0
10,244.0
11,245.0
12,245.0
13,248.0
14,242.0
15,246.0
16,244.0
17,242.0
18,247.0
19,245.0
20,243.0
21,245.0
22,246.0
23,243.0
24,242.0
25,244.0
26,244.0
27,242.0
28,243.0
29,242.0
30,246.0
31,244.0
32,241.0
33,245.0
34,247.0
35,243.0
36,244.0
37,244.0
38,246.0
39,245.0
40,246.0
41,248.0
42,243.0
43,246.0
44,246.0
45,245.0
46,243.0
47,247.0
48,243.0
49,244.0
50,243.0
51,245.0
52,242.0
53,241.0
54,247.0
55,241.0
56,244.0
57,241.0
58,244.0
59,247.0
60,242.0
61,247.0
62,247.0
63,243.0
64,245.0
65,248.0
66,245.0
67,247.0
68,243.0
69,243.0
70,244.0
71,244.0
72,242.0
73,244.0
74,244.0
75,245.0
76,244.0
77,245.0
78,242.0
79,245.0
80,244.0
81,246.0
82,245.0
83,243.0
84,246.0
85,244.0
86,245.0
87,241.0
88,243.0
89,244.0
90,243.0
91,245.0
92,240.0
93,244.0
94,245.0
95,242.0
96,247.0
97,244.0
98,245.0
99,245.0
100,243.0
101,246.0
102,245.0
103,243.0
104,245.0
105,246.0
106,245.0
107,246.0
108,245.0
109,247.0
110,245.0
111,243.0
112,246.0
113,249.0
114,246.0
115,246.0
116,244.0
117,241.0
118,245.0
119,244.0
120,244.0
121,245.0
122,242.0
123,243.0
124,245.0
125,240.0
126,247.0
127,246.0
128,246.0
129,243.0
130,243.0
131,243.0
132,243.0
133,246.0
134,245.0
135,244.0
136,246.0
137,242.0
138,243.0
139,245.0
140,242.0
141,242.0
142,245.0
143,245.0
144,245.0
145,246.0
146,241.0
147,245.0
148,245.0
149,246.0
150,246.0
151,245.0
152,245.0
153,247.0
154,244.0
155,243.0
156,251.0
157,246.0
158,244.0
159,244.0
160,243.0
161,241.0
162,244.0
163,247.0
164,242.0
165,244.0
166,241.0
167,247.0
168,240.0
169,245.0
170,244.0
171,244.0
172,245.0
173,243.0
174,249.0
175,245.0
176,241.0
177,245.0
178,246.0
179,246.0
180,245.0
181,243.0
182,246.0
183,244.0
184,248.0
185,243.0
186,245.0
187,247.0
188,240.0
189,246.0
190,248.0
191,239.0
192,243.0
193,247.0
194,246.0
195,242.0
196,247.0
197,242.0
198,246.0
199,243.0
200,245.0
201,244.0
202,245.0
203,244.0
204,244.0
205,244.0
206,244.0
207,244.0
208,248.0
209,242.0
210,243.0
211,244.0
212,246.0
213,244.0
214,245.0
215,248.0
216,247.0
217,244.0
218,243.0
219,244.0
220,243.0
221,246.0
222,247.0
223,245.0
224,245.0
225,245.0
226,244.0
227,244.0
228,243.0
229,246.0
230,247.0
231,245.0
232,247.0
233,245.0
234,247.0
235,243.0
236,243.0
237,246.0
238,245.0
239,245.0
240,247.0
241,244.0
242,245.0
243,245.0
244,246.0
245,243.0
246,246.0
247,245.0
248,246.0
249,242.0
250,246.0
251,245.0
252,243.0
253,244.0
254,247.0
255,246.0
256,243.0
257,247.0
258,246.0
259,246.0
260,242.0
261,249.0
262,243.0
263,243.0
264,246.0
265,245.0
266,243.0
267,244.0
268,248.0
269,243.0
270,245.0
271,244.0
272,246.0
273,243.0
274,243.0
275,240.0
276,244.0
277,249.0
278,241.0
279,245.0
280,246.0
281,244.0
282,249.0
283,244.0
284,241.0
285,245.0
286,244.0
287,244.0
288,246.0
289,243.0
290,242.0
291,242.0
292,247.0
293,244.0
294,243.0
295,243.0
296,246.0
297,243.0
298,245.0
299,245.0
300,244.0
301,245.0
302,244.0
303,245.0
304,243.0
305,244.0
306,242.0
307,244.0
308,245.0
309,248.0
310,248.0
311,244.0
312,243.0
313,242.0
314,245.0
315,246.0
316,244.0
317,246.0
318,245.0
319,247.0
320,247.0
321,242.0
322,250.0
323,248.0
324,245.0
325,245.0
326,242.0
327,246.0
328,242.0
329,246.0
330,246.0
331,244.0
332,245.0
333,244.0
334,243.0
335,245.0
336,243.0
337,246.0
338,245.0
339,245.0
340,247.0
341,247.0
342,245.0
343,243.0
344,242.0
345,245.0
346,245.0
347,245.0
348,242.0
349,243.0
350,245.0
351,240.0
352,246.0
353,242.0
354,244.0
355,245.0
356,239.0
357,246.0
358,242.0
359,244.0
360,242.0
361,241.0
362,244.0
363,244.0
364,245.0
365,241.0
366,243.0
367,246.0
368,247.0
369,245.0
370,247.0
371,245.0
372,246.0
373,242.0
374,244.0
375,244.0
376,242.0
377,247.0
378,244.0
379,246.0
380,244.0
381,243.0
382,242.0
383,246.0
384,243.0
385,243.0
386,246.0
387,244.0
388,243.0
389,245.0
390,244.0
391,246.0
392,242.0
393,246.0
394,245.0
395,244.0
396,241.0
397,242.0
398,245.0
399,244.0
400,246.0
401,243.0
402,246.0
403,242.0
404,243.0
405,244.0
406,244.0
407,243.0
408,243.0
409,244.0
410,246.0
411,242.0
412,246.0
413,244.0
414,244.0
415,245.0
416,247.0
417,243.0
418,242.0
419,245.0
420,245.0
421,240.0
422,243.0
423,242.0
424,244.0
425,246.0
426,244.0
427,245.0
428,243.0
429,246.0
430,244.0
431,245.0
432,245.0
433,245.0
434,243.0
435,243.0
436,246.0
437,242.0
438,246.0
439,244.0
440,244.0
441,245.0
442,247.0
443,242.0
444,246.0
445,243.0
446,246.0
447,244.0
448,243.0
449,246.0
450,244.0
451,243.0
452,244.0
453,243.0
454,242.0
455,244.0
456,248.0
457,245.0
458,244.0
459,244.0
460,245.0
461,243.0
462,242.0
463,245.0
464,243.0
465,240.0
466,243.0
467,243.0
468,248.0
469,241.0
470,243.0
471,244.0
472,243.0
473,246.0
474,246.0
475,243.0
476,245.0
477,246.0
478,244.0
479,243.0
480,246.0
481,246.0
482,246.0
483,245.0
484,243.0
485,248.0
486,244.0
487,248.0
488,246.0
489,245.0
490,243.0
491,243.0
492,245.0
493,246.0
494,246.0
495,246.0
496,247.0
497,245.0
498,244.0
499,246.0
500,247.0
501,241.0
502,247.0
503,245.0
504,242.0
505,245.0
506,243.0
507,247.0
508,246.0
509,247.0
510,243.0
511,245.0
512,242.0
513,245.0
514,244.0
515,247.0
516,243.0
517,245.0
518,245.0
519,244.0
520,245.0
521,247.0
522,243.0
523,244.0
524,246.0
525,244.0
526,247.0
527,246.0
528,243.0
529,246.0
530,244.0
531,245.0
532,250.0
533,245.0
534,244.0
535,245.0
536,247.0
537,246.0
538,248.0
539,243.0
540,248.0
541,243.0
542,246.0
543,244.0
544,246.0
545,245.0
546,246.0
547,244.0
548,249.0
549,247.0
550,246.0
551,247.0
552,247.0
553,246.0
554,242.0
555,242.0
556,246.0
557,244.0
558,243.0
559,244.0
560,243.0
561,246.0
562,245.0
563,244.0
564,245.0
565,243.0
566,246.0
567,245.0
568,245.0
569,243.0
570,242.0
571,245.0
572,245.0
573,244.0
574,245.0
575,242.0
576,242.0
577,245.0
578,244.0
579,245.0
580,242.0
581,244.0
582,245.0
583,246.0
584,242.0
585,245.0
586,250.0
587,246.0
588,246.0
589,246.0
590,243.0
591,243.0
592,245.0
593,244.0
594,246.0
595,248.0
596,241.0
597,246.0
598,247.0
599,241.0
600,242.0
601,245.0
602,244.0
603,245.0
604,245.0
605,243.0
606,243.0
607,242.0
608,250.0
609,242.0
610,242.0
611,245.0
612,243.0
613,248.0
614,248.0
615,247.0
616,243.0
617,247.0
618,243.0
619,245.0
620,241.0
621,246.0
622,246.0
623,245.0
624,248.0
625,244.0
626,247.0
627,244.0
628,245.0
629,244.0
630,243.0
631,244.0
632,248.0
633,242.0
634,240.0
635,249.0
636,243.0
637,241.0
638,244.0
639,244.0
640,249.0
641,245.0
642,243.0
643,243.0
644,245.0
645,247.0
646,245.0
647,245.0
648,244.0
649,245.0
650,244.0
651,242.0
652,242.0
653,244.0
654,243.0
655,243.0
656,247.0
657,242.0
658,249.0
659,243.0
660,243.0
661,244.0
662,244.0
663,243.0
664,246.0
665,242.0
666,245.0
667,243.0
668,245.0
669,246.0
670,243.0
671,247.0
672,241.0
673,244.0
674,244.0
675,244.0
676,246.0
677,245.0
678,249.0
679,243.0
680,243.0
681,244.0
682,244.0
683,246.0
684,244.0
685,245.0
686,243.0
687,248.0
688,246.0
689,239.0
690,244.0
691,246.0
692,244.0
693,247.0
694,243.0
695,244.0
696,245.0
697,244.0
698,246.0
699,246.0
700,243.0
701,243.0
702,243.0
703,244.0
704,246.0
705,246.0
706,243.0
707,247.0
708,245.0
709,244.0
710,245.0
711,245.0
712,244.0
713,242.0
714,242.0
715,246.0
716,246.0
717,249.0
718,244.0
719,246.0
720,247.0
721,242.0
722,245.0
723,248.0
724,244.0
725,242.0
726,246.0
727,244.0
728,247.0
729,245.0
730,245.0
731,246.0
732,244.0
733,246.0
734,248.0
735,246.0
736,249.0
737,246.0
738,251.0
739,246.0
740,242.0
741,247.0
742,245.0
743,243.0
744,246.0
745,245.0
746,245.0
747,243.0
748,243.0
749,245.0
750,245.0
751,245.0
752,245.0
753,243.0
754,246.0
755,245.0
756,247.0
757,245.0
758,245.0
759,243.0
760,244.0
761,243.0
762,239.0
763,245.0
764,241.0
765,245.0
766,243.0
767,243.0
768,246.0
769,248.0
770,246.0
771,244.0
772,244.0
773,247.0
774,244.0
775,247.0
776,245.0
777,244.0
778,245.0
779,242.0
780,244.0
781,241.0
782,244.0
783,243.0
784,246.0
785,243.0
786,246.0
787,242.0
788,246.0
789,246.0
790,248.0
791,243.0
792,247.0
793,243.0
794,244.0
795,243.0
796,244.0
797,247.0
798,247.0
799,245.0
800,245.0
801,244.0
802,247.0
803,243.0
804,245.0
805,247.0
806,242.0
807,250.0
808,244.0
809,245.0
810,246.0
811,240.0
812,244.0
813,247.0
814,240.0
815,245.0
816,245.0
817,244.0
818,246.0
819,246.0
820,244.0
821,246.0
822,245.0
823,243.0
824,246.0
825,244.0
826,247.0
827,249.0
828,245.0
829,245.0
830,245.0
831,247.0
832,247.0
833,245.0
834,245.0
835,245.0
836,246.0
837,242.0
838,240.0
839,246.0
840,243.0
841,243.0
842,243.0
843,249.0
844,245.0
845,244.0
846,247.0
847,243.0
848,247.0
849,241.0
850,247.0
851,243.0
852,247.0
853,245.0
854,248.0
855,247.0
856,245.0
857,246.0
858,243.0
859,243.0
860,244.0
861,247.0
862,243.0
863,244.0
864,249.0
865,246.0
866,245.0
867,244.0
868,243.0
869,244.0
870,245.0
871,247.0
872,244.0
873,243.0
874,248.0
875,242.0
876,247.0
877,242.0
878,245.0
879,244.0
880,244.0
881,244.0
882,241.0
883,245.0
884,246.0
885,245.0
886,247.0
887,246.0
888,244.0
889,246.0
890,242.0
891,247.0
892,242.0
893,246.0
894,241.0
895,246.0
896,244.0
897,243.0
898,243.0
899,245.0
900,246.0
901,245.0
902,247.0
903,245.0
904,243.0
905,242.0
906,244.0
907,245.0
908,246.0
909,245.0
910,242.0
911,241.0
912,240.0
913,244.0
914,243.0
915,244.0
916,247.0
917,245.0
918,244.0
919,245.0
920,243.0
921,245.0
922,243.0
923,246.0
924,246.0
925,244.0
926,246.0
927,245.0
928,243.0
929,246.0
930,246.0
931,245.0
932,244.0
933,247.0
934,247.0
935,244.0
936,248.0
937,245.0
938,242.0
939,247.0
940,245.0
941,246.0
942,242.0
943,242.0
944,248.0
945,243.0
946,244.0
