,0
0,VL53L0
1,204
2,203
3,202
4,204
5,203
6,205
7,202
8,202
9,202
10,204
11,202
12,203
13,201
14,202
15,201
16,202
17,201
18,204
19,203
20,204
21,201
22,201
23,203
24,203
25,205
26,205
27,204
28,203
29,202
30,204
31,204
32,203
33,202
34,200
35,203
36,202
37,206
38,207
39,203
40,203
41,201
42,204
43,198
44,203
45,201
46,202
47,201
48,202
49,203
50,203
51,203
52,204
53,206
54,206
55,202
56,203
57,200
58,203
59,201
60,204
61,203
62,204
63,201
64,201
65,202
66,202
67,205
68,205
69,202
70,203
71,205
72,202
73,207
74,203
75,204
76,204
77,203
78,202
79,205
80,204
81,201
82,203
83,201
84,205
85,203
86,206
87,204
88,204
89,203
90,202
91,203
92,204
93,202
94,202
95,203
96,203
97,202
98,203
99,202
100,204
101,203
102,207
103,204
104,202
105,204
106,203
107,204
108,203
109,203
110,204
111,206
112,201
113,204
114,200
115,202
116,204
117,205
118,200
119,203
120,204
121,203
122,203
123,207
124,201
125,203
126,203
127,204
128,200
129,205
130,204
131,202
132,203
133,207
134,206
135,202
136,199
137,204
138,205
139,198
140,199
141,203
142,201
143,202
144,201
145,203
146,202
147,203
148,201
149,202
150,204
151,202
152,202
153,201
154,203
155,201
156,203
157,205
158,205
159,203
160,203
161,203
162,206
163,203
164,206
165,200
166,204
167,202
168,203
169,204
170,203
171,203
172,200
173,200
174,201
175,202
176,205
177,202
178,200
179,204
180,202
181,202
182,202
183,202
184,204
185,202
186,202
187,202
188,205
189,203
190,204
191,201
192,203
193,205
194,204
195,206
196,203
197,203
198,200
199,200
200,204
201,205
202,202
203,203
204,205
205,203
206,202
207,204
208,199
209,201
210,202
211,204
212,202
213,202
214,201
215,205
216,203
217,203
218,203
219,200
220,206
221,202
222,205
223,206
224,203
225,202
226,203
227,203
228,205
229,201
230,200
231,203
232,200
233,202
234,202
235,203
236,201
237,200
238,204
239,202
240,204
241,204
242,201
243,201
244,202
245,204
246,203
247,202
248,202
249,202
250,205
251,202
252,203
253,202
254,200
255,201
256,202
257,201
258,199
259,201
260,202
261,201
262,202
263,201
264,205
265,205
266,202
267,205
268,203
269,203
270,202
271,200
272,205
273,203
274,202
275,204
276,201
277,202
278,203
279,200
280,205
281,201
282,200
283,203
284,204
285,203
286,202
287,202
288,202
289,202
290,202
291,204
292,201
293,201
294,203
295,205
296,204
297,202
298,205
299,203
300,202
301,202
302,201
303,201
304,204
305,203
306,201
307,200
308,206
309,202
310,205
311,203
312,205
313,201
314,201
315,204
316,204
317,204
318,203
319,204
320,204
321,203
322,202
323,202
324,203
325,202
326,204
327,203
328,202
329,205
330,204
331,204
332,202
333,202
334,199
335,200
336,203
337,201
338,202
339,204
340,203
341,203
342,204
343,206
344,202
345,205
346,201
347,201
348,206
349,203
350,203
351,202
352,202
353,202
354,203
355,204
356,205
357,202
358,200
359,202
360,205
361,203
362,202
363,202
364,205
365,203
366,201
367,205
368,206
369,202
370,201
371,202
372,204
373,206
374,201
375,203
376,203
377,206
378,203
379,203
380,203
381,199
382,205
383,202
384,202
385,201
386,201
387,202
388,204
389,203
390,203
391,203
392,201
393,202
394,200
395,200
396,204
397,200
398,202
399,202
400,204
401,202
402,203
403,205
404,203
405,202
406,201
407,205
408,201
409,204
410,201
411,205
412,202
413,200
414,203
415,202
416,203
417,201
418,202
419,203
420,203
421,199
422,203
423,205
424,206
425,206
426,203
427,202
428,205
429,203
430,200
431,205
432,202
433,204
434,205
435,202
436,204
437,203
438,201
439,205
440,201
441,203
442,204
443,202
444,200
445,198
446,203
447,203
448,204
449,201
450,199
451,207
452,200
453,204
454,204
455,203
456,204
457,203
458,204
459,205
460,205
461,205
462,205
463,202
464,204
465,205
466,201
467,206
468,205
469,204
470,203
471,204
472,202
473,202
474,203
475,203
476,203
477,201
478,203
479,204
480,205
481,202
482,201
483,201
484,204
485,202
486,207
487,203
488,203
489,203
490,202
491,203
492,202
493,207
494,204
495,204
496,202
497,199
498,203
499,200
500,199
501,204
502,202
503,204
504,206
505,203
506,203
507,201
508,201
509,204
510,204
511,206
512,203
513,204
514,203
515,203
516,201
517,200
518,206
519,202
520,201
521,201
522,208
523,204
524,204
525,201
526,203
527,201
528,203
529,201
530,204
531,203
532,202
533,205
534,201
535,203
536,200
537,206
538,201
539,202
540,202
541,204
542,202
543,201
544,202
545,201
546,207
547,203
548,203
549,200
550,205
551,202
552,201
553,205
554,202
555,205
556,206
557,202
558,203
559,201
560,202
561,202
562,202
563,206
564,202
565,200
566,203
567,205
568,203
569,201
570,203
571,202
572,200
573,203
574,202
575,202
576,202
577,202
578,203
579,204
580,204
581,205
582,202
583,203
584,201
585,203
586,202
587,206
588,205
589,203
590,205
591,204
592,200
593,204
594,205
595,202
596,201
597,203
598,201
599,206
600,200
601,208
602,201
603,204
604,203
605,201
606,204
607,201
608,203
609,203
610,203
611,201
612,203
613,199
614,204
615,200
616,203
617,205
618,203
619,203
620,206
621,204
622,201
623,202
624,201
625,201
626,202
627,203
628,204
629,203
630,201
631,202
632,203
633,204
634,203
635,204
636,201
637,202
638,198
639,200
640,204
641,202
642,204
643,198
644,201
645,200
646,202
647,199
648,200
649,203
650,202
651,203
652,201
653,204
654,203
655,204
656,199
657,205
658,201
659,204
660,203
661,202
662,203
663,200
664,200
665,203
666,201
667,203
668,203
669,201
670,203
671,204
672,202
673,203
674,201
675,204
676,203
677,200
678,203
679,205
680,204
681,208
682,203
683,203
684,202
685,199
686,205
687,205
688,203
689,200
690,201
691,204
692,202
693,205
694,203
695,203
696,200
697,199
698,203
699,202
700,201
701,203
702,200
703,203
704,203
705,198
706,202
707,203
708,204
709,204
710,201
711,201
712,202
713,205
714,204
715,205
716,204
717,203
718,204
719,201
720,206
721,202
722,203
723,203
724,207
725,201
726,202
727,205
728,202
729,203
730,206
731,200
732,207
733,204
734,203
735,201
736,202
737,201
738,202
739,204
740,200
741,205
742,203
743,202
744,204
745,201
746,200
747,202
748,204
749,202
750,205
751,205
752,203
753,205
754,205
755,205
756,204
757,204
758,202
759,203
760,203
761,205
762,204
763,205
764,203
765,203
766,203
767,203
768,202
769,202
770,203
771,203
772,203
773,204
774,202
775,201
776,203
777,204
778,204
779,202
780,204
781,206
782,202
783,201
784,202
785,203
786,202
787,200
788,203
789,206
790,201
791,208
792,203
793,203
794,200
795,205
796,206
797,203
798,203
799,201
800,197
801,203
802,205
803,202
804,204
805,201
806,201
807,203
808,202
809,200
810,204
811,204
812,203
813,203
814,205
815,205
816,203
817,203
818,200
819,202
820,201
821,202
822,205
823,202
824,204
825,204
826,206
827,202
828,200
829,203
830,203
831,203
832,205
833,205
834,203
835,203
836,203
837,204
838,201
839,204
840,203
841,201
842,201
843,204
844,205
845,203
846,200
847,203
848,206
849,203
850,201
851,204
852,204
853,203
854,203
855,206
856,203
857,204
858,204
859,205
860,200
861,205
862,199
863,202
864,200
865,205
866,201
867,201
868,202
869,201
870,202
871,203
872,203
873,205
874,202
875,204
876,202
877,204
878,202
879,205
880,204
881,201
882,202
883,201
884,203
885,206
886,202
887,205
888,203
889,200
890,201
891,205
892,202
893,203
894,204
895,202
896,201
897,205
898,205
899,205
900,202
901,205
902,200
903,204
904,205
905,201
906,203
907,203
908,203
909,206
910,202
911,199
912,202
913,204
914,204
915,202
916,203
917,204
918,202
919,202
920,204
921,204
922,205
923,206
924,200
925,206
926,201
927,203
928,205
929,202
930,203
931,201
932,204
933,204
934,199
935,204
936,202
937,203
938,204
939,203
940,205
941,204
942,200
943,201
944,206
945,201
946,204
947,203
948,203
