,0
0,19.0
1,24.0
2,23.0
3,25.0
4,24.0
5,24.0
6,21.0
7,22.0
8,22.0
9,24.0
10,21.0
11,22.0
12,23.0
13,25.0
14,23.0
15,24.0
16,20.0
17,25.0
18,23.0
19,25.0
20,23.0
21,25.0
22,20.0
23,25.0
24,23.0
25,23.0
26,23.0
27,18.0
28,25.0
29,24.0
30,20.0
31,23.0
32,25.0
33,21.0
34,23.0
35,27.0
36,21.0
37,22.0
38,23.0
39,24.0
40,22.0
41,24.0
42,24.0
43,21.0
44,24.0
45,23.0
46,21.0
47,24.0
48,24.0
49,21.0
50,22.0
51,22.0
52,23.0
53,21.0
54,27.0
55,24.0
56,23.0
57,23.0
58,23.0
59,25.0
60,19.0
61,24.0
62,23.0
63,21.0
64,25.0
65,21.0
66,21.0
67,21.0
68,24.0
69,23.0
70,23.0
71,25.0
72,24.0
73,25.0
74,22.0
75,23.0
76,23.0
77,20.0
78,23.0
79,24.0
80,24.0
81,22.0
82,22.0
83,25.0
84,25.0
85,21.0
86,22.0
87,25.0
88,21.0
89,23.0
90,22.0
91,23.0
92,22.0
93,21.0
94,26.0
95,23.0
96,23.0
97,22.0
98,23.0
99,24.0
100,21.0
101,27.0
102,20.0
103,23.0
104,22.0
105,22.0
106,21.0
107,24.0
108,25.0
109,22.0
110,23.0
111,24.0
112,22.0
113,22.0
114,24.0
115,21.0
116,25.0
117,25.0
118,25.0
119,21.0
120,20.0
121,23.0
122,23.0
123,23.0
124,24.0
125,25.0
126,23.0
127,22.0
128,21.0
129,23.0
130,23.0
131,23.0
132,25.0
133,20.0
134,21.0
135,24.0
136,19.0
137,21.0
138,27.0
139,20.0
140,22.0
141,23.0
142,21.0
143,21.0
144,25.0
145,22.0
146,25.0
147,21.0
148,24.0
149,22.0
150,22.0
151,23.0
152,24.0
153,21.0
154,24.0
155,19.0
156,19.0
157,20.0
158,21.0
159,23.0
160,22.0
161,23.0
162,21.0
163,24.0
164,22.0
165,20.0
166,24.0
167,22.0
168,26.0
169,23.0
170,23.0
171,22.0
172,22.0
173,23.0
174,24.0
175,20.0
176,23.0
177,24.0
178,24.0
179,21.0
180,22.0
181,22.0
182,18.0
183,21.0
184,24.0
185,22.0
186,22.0
187,21.0
188,24.0
189,27.0
190,23.0
191,23.0
192,22.0
193,27.0
194,24.0
195,24.0
196,28.0
197,23.0
198,23.0
199,26.0
200,20.0
201,21.0
202,18.0
203,22.0
204,22.0
205,23.0
206,20.0
207,21.0
208,21.0
209,22.0
210,24.0
211,24.0
212,22.0
213,20.0
214,24.0
215,19.0
216,21.0
217,22.0
218,24.0
219,23.0
220,22.0
221,21.0
222,25.0
223,23.0
224,23.0
225,25.0
226,23.0
227,25.0
228,24.0
229,24.0
230,21.0
231,24.0
232,24.0
233,25.0
234,25.0
235,25.0
236,23.0
237,22.0
238,21.0
239,21.0
240,26.0
241,22.0
242,22.0
243,23.0
244,23.0
245,22.0
246,22.0
247,24.0
248,24.0
249,24.0
