,0
0,245.0
1,243.0
2,243.0
3,240.0
4,244.0
5,243.0
6,244.0
7,242.0
8,243.0
9,245.0
10,239.0
11,242.0
12,245.0
13,247.0
14,248.0
15,241.0
16,245.0
17,247.0
18,245.0
19,246.0
20,250.0
21,246.0
22,242.0
23,245.0
24,243.0
25,245.0
26,243.0
27,244.0
28,250.0
29,246.0
30,245.0
31,243.0
32,243.0
33,246.0
34,242.0
35,240.0
36,243.0
37,243.0
38,246.0
39,245.0
40,244.0
41,242.0
42,245.0
43,245.0
44,244.0
45,245.0
46,244.0
47,249.0
48,243.0
49,243.0
50,245.0
51,244.0
52,243.0
53,240.0
54,243.0
55,242.0
56,243.0
57,246.0
58,240.0
59,242.0
60,247.0
61,244.0
62,249.0
63,246.0
64,247.0
65,242.0
66,242.0
67,239.0
68,241.0
69,243.0
70,244.0
71,247.0
72,244.0
73,240.0
74,247.0
75,238.0
76,246.0
77,244.0
78,244.0
79,244.0
80,245.0
81,245.0
82,242.0
83,243.0
84,245.0
85,243.0
86,243.0
87,245.0
88,242.0
89,242.0
90,244.0
91,243.0
92,243.0
93,240.0
94,245.0
95,242.0
96,245.0
97,242.0
98,241.0
99,244.0
100,245.0
101,244.0
102,244.0
103,244.0
104,246.0
105,246.0
106,243.0
107,248.0
108,244.0
109,242.0
110,241.0
111,243.0
112,248.0
113,244.0
114,245.0
115,243.0
116,242.0
117,246.0
118,245.0
119,241.0
120,245.0
121,243.0
122,247.0
123,245.0
124,243.0
125,245.0
126,245.0
127,239.0
128,242.0
129,245.0
130,243.0
131,243.0
132,245.0
133,245.0
134,241.0
135,244.0
136,245.0
137,247.0
138,246.0
139,246.0
140,244.0
141,244.0
142,243.0
143,244.0
144,241.0
145,245.0
146,243.0
147,243.0
148,242.0
149,245.0
150,243.0
151,245.0
152,242.0
153,246.0
154,243.0
155,243.0
156,246.0
157,239.0
158,241.0
159,242.0
160,246.0
161,241.0
162,242.0
163,242.0
164,244.0
165,244.0
166,246.0
167,243.0
168,244.0
169,244.0
170,246.0
171,246.0
172,246.0
173,244.0
174,246.0
175,242.0
176,243.0
177,242.0
178,244.0
179,243.0
180,241.0
181,243.0
182,243.0
183,242.0
184,242.0
185,242.0
186,241.0
187,245.0
188,245.0
189,240.0
190,243.0
191,244.0
192,242.0
193,243.0
194,243.0
195,244.0
196,244.0
197,245.0
198,246.0
199,246.0
200,250.0
201,242.0
202,245.0
203,246.0
204,243.0
205,246.0
206,246.0
207,244.0
208,242.0
209,242.0
210,245.0
211,240.0
212,240.0
213,247.0
214,243.0
215,246.0
216,241.0
217,248.0
218,243.0
219,241.0
220,243.0
221,246.0
222,242.0
223,243.0
224,247.0
225,243.0
226,247.0
227,243.0
228,244.0
229,245.0
230,246.0
231,241.0
232,240.0
233,245.0
234,242.0
235,244.0
236,247.0
237,245.0
238,244.0
239,247.0
240,245.0
241,246.0
242,244.0
243,243.0
244,244.0
245,246.0
246,245.0
247,243.0
248,244.0
249,240.0
250,244.0
251,245.0
252,245.0
253,244.0
254,243.0
255,243.0
256,244.0
257,247.0
258,243.0
259,245.0
260,248.0
261,249.0
262,242.0
263,240.0
264,243.0
265,242.0
266,241.0
267,243.0
268,243.0
269,246.0
270,243.0
271,244.0
272,243.0
273,242.0
274,244.0
275,246.0
276,240.0
277,243.0
278,244.0
279,241.0
280,242.0
281,241.0
282,243.0
283,244.0
284,243.0
285,242.0
286,244.0
287,246.0
288,244.0
289,242.0
290,243.0
291,245.0
292,240.0
293,246.0
294,242.0
295,245.0
296,243.0
297,243.0
298,242.0
299,244.0
300,242.0
301,245.0
302,245.0
303,242.0
304,249.0
305,243.0
306,243.0
307,244.0
308,246.0
309,248.0
310,247.0
311,243.0
312,244.0
313,241.0
