,0
0,916.0
1,922.0
2,918.0
3,910.0
4,922.0
5,913.0
6,902.0
7,908.0
8,906.0
9,904.0
10,913.0
11,918.0
12,910.0
13,918.0
14,914.0
15,923.0
16,920.0
17,900.0
18,914.0
19,912.0
20,910.0
21,921.0
22,910.0
23,895.0
24,909.0
25,907.0
26,913.0
27,917.0
28,917.0
29,903.0
30,901.0
31,925.0
32,912.0
33,914.0
34,904.0
35,904.0
36,910.0
37,902.0
38,919.0
39,901.0
40,916.0
41,913.0
42,916.0
43,914.0
44,917.0
45,912.0
46,907.0
47,904.0
48,912.0
49,908.0
50,909.0
51,903.0
52,912.0
53,909.0
54,916.0
55,912.0
56,924.0
57,923.0
58,907.0
59,908.0
60,908.0
61,901.0
62,905.0
63,913.0
64,913.0
65,919.0
66,909.0
67,903.0
68,916.0
69,907.0
70,918.0
71,910.0
72,906.0
73,904.0
74,914.0
75,908.0
76,909.0
77,908.0
78,914.0
79,913.0
80,912.0
81,901.0
82,904.0
83,908.0
84,906.0
85,906.0
86,900.0
87,904.0
88,912.0
89,915.0
90,913.0
91,917.0
92,912.0
93,907.0
94,905.0
95,905.0
96,914.0
97,909.0
98,922.0
99,916.0
100,913.0
101,905.0
102,915.0
103,911.0
104,915.0
105,906.0
106,910.0
107,923.0
108,925.0
109,909.0
110,901.0
111,917.0
112,894.0
113,914.0
114,914.0
115,895.0
116,917.0
117,918.0
118,905.0
119,906.0
120,910.0
121,914.0
122,906.0
123,907.0
124,911.0
125,908.0
126,893.0
127,904.0
128,917.0
129,913.0
130,911.0
131,918.0
132,909.0
133,920.0
134,921.0
135,915.0
136,910.0
137,910.0
138,903.0
139,907.0
140,918.0
141,914.0
142,913.0
143,903.0
144,908.0
145,911.0
146,922.0
147,908.0
148,909.0
149,916.0
150,901.0
151,904.0
152,907.0
153,908.0
154,918.0
155,917.0
156,911.0
157,913.0
158,898.0
159,918.0
160,911.0
161,921.0
162,911.0
163,893.0
164,913.0
165,909.0
166,918.0
167,920.0
168,924.0
169,921.0
170,912.0
171,910.0
172,903.0
173,901.0
174,908.0
175,910.0
176,911.0
177,904.0
178,911.0
179,908.0
180,902.0
181,909.0
182,917.0
183,906.0
184,909.0
185,917.0
186,905.0
187,904.0
188,912.0
189,899.0
190,892.0
191,909.0
192,912.0
193,914.0
194,926.0
195,902.0
196,920.0
197,912.0
198,903.0
199,908.0
200,903.0
201,917.0
202,918.0
203,916.0
204,911.0
205,914.0
206,913.0
207,906.0
208,905.0
209,902.0
210,923.0
211,919.0
212,907.0
213,917.0
214,899.0
215,913.0
216,907.0
217,904.0
218,921.0
219,918.0
220,905.0
221,904.0
222,904.0
223,908.0
224,895.0
225,906.0
226,908.0
227,910.0
228,913.0
229,901.0
230,910.0
231,918.0
232,918.0
233,911.0
234,923.0
235,924.0
236,908.0
237,911.0
238,915.0
239,914.0
240,916.0
241,904.0
242,909.0
243,911.0
244,905.0
245,904.0
246,901.0
247,906.0
248,907.0
249,911.0
250,908.0
251,900.0
252,903.0
253,923.0
254,903.0
255,915.0
256,914.0
257,906.0
258,916.0
259,903.0
260,921.0
261,905.0
262,914.0
263,907.0
264,912.0
265,924.0
266,911.0
267,921.0
268,907.0
269,913.0
270,909.0
271,907.0
272,905.0
273,898.0
274,906.0
275,891.0
276,918.0
277,901.0
278,915.0
279,901.0
280,903.0
281,905.0
282,908.0
283,912.0
284,918.0
285,923.0
286,904.0
287,905.0
288,903.0
289,897.0
290,908.0
291,905.0
292,903.0
293,905.0
294,904.0
295,915.0
296,913.0
297,909.0
298,913.0
299,912.0
300,923.0
301,898.0
302,915.0
303,910.0
304,902.0
305,912.0
306,895.0
307,908.0
308,905.0
309,920.0
310,915.0
311,898.0
312,920.0
313,915.0
314,908.0
315,902.0
316,910.0
317,908.0
318,916.0
319,910.0
320,915.0
321,907.0
322,909.0
323,916.0
324,911.0
325,896.0
326,924.0
327,918.0
328,899.0
329,911.0
330,915.0
331,900.0
332,902.0
333,905.0
334,900.0
335,927.0
336,901.0
337,913.0
338,904.0
339,904.0
340,923.0
341,916.0
342,923.0
343,912.0
344,898.0
345,911.0
346,917.0
347,915.0
348,904.0
349,918.0
350,904.0
351,916.0
352,915.0
353,903.0
354,894.0
355,915.0
356,917.0
357,926.0
358,909.0
359,906.0
360,925.0
361,897.0
362,904.0
363,913.0
364,901.0
365,922.0
366,914.0
367,909.0
368,911.0
369,905.0
370,912.0
371,913.0
372,922.0
373,909.0
374,907.0
375,911.0
376,905.0
377,913.0
378,924.0
379,910.0
380,907.0
381,904.0
382,907.0
383,921.0
384,913.0
385,911.0
386,904.0
387,920.0
388,904.0
389,902.0
390,908.0
391,908.0
392,913.0
393,902.0
394,922.0
395,909.0
396,910.0
397,923.0
398,912.0
399,919.0
400,905.0
401,907.0
402,913.0
403,916.0
404,905.0
405,912.0
406,902.0
407,912.0
408,909.0
409,912.0
410,913.0
411,911.0
412,904.0
413,910.0
414,918.0
415,909.0
416,917.0
417,907.0
418,911.0
419,912.0
420,913.0
421,915.0
422,919.0
423,913.0
424,901.0
425,912.0
426,908.0
427,918.0
428,903.0
429,910.0
430,919.0
431,915.0
432,903.0
433,923.0
434,911.0
435,915.0
436,914.0
437,915.0
438,904.0
439,910.0
440,905.0
441,912.0
442,907.0
443,917.0
444,898.0
445,904.0
446,906.0
447,917.0
448,907.0
449,901.0
450,906.0
451,909.0
452,938.0
453,900.0
454,909.0
455,917.0
456,911.0
457,920.0
458,914.0
459,920.0
460,923.0
461,919.0
462,905.0
463,909.0
464,911.0
465,918.0
466,918.0
467,904.0
468,906.0
469,909.0
470,906.0
471,915.0
472,897.0
473,903.0
474,910.0
475,922.0
476,921.0
477,901.0
478,907.0
479,905.0
480,900.0
481,899.0
482,895.0
483,906.0
484,910.0
485,914.0
486,919.0
487,901.0
488,911.0
489,908.0
490,900.0
491,922.0
492,911.0
493,902.0
494,907.0
495,913.0
496,917.0
497,916.0
498,920.0
499,921.0
500,906.0
501,920.0
502,911.0
503,920.0
504,906.0
505,902.0
506,905.0
507,906.0
508,904.0
509,911.0
510,900.0
511,915.0
512,898.0
513,913.0
514,897.0
515,907.0
516,907.0
517,912.0
518,907.0
519,912.0
520,918.0
521,910.0
522,910.0
523,918.0
524,910.0
525,908.0
526,907.0
527,906.0
528,914.0
529,908.0
530,906.0
531,929.0
532,917.0
533,900.0
534,915.0
535,914.0
536,915.0
537,912.0
538,915.0
539,892.0
540,903.0
541,918.0
542,908.0
543,895.0
544,898.0
545,915.0
546,910.0
547,904.0
548,906.0
549,910.0
550,921.0
551,906.0
552,918.0
553,911.0
554,918.0
555,921.0
556,909.0
557,915.0
558,917.0
559,915.0
560,911.0
561,902.0
562,910.0
563,912.0
564,909.0
565,913.0
566,911.0
567,914.0
568,907.0
569,919.0
570,893.0
571,908.0
572,906.0
573,922.0
574,908.0
575,907.0
576,905.0
577,918.0
578,915.0
579,911.0
580,908.0
581,904.0
582,917.0
583,918.0
584,905.0
585,918.0
586,910.0
587,915.0
588,911.0
589,912.0
590,901.0
591,916.0
592,914.0
593,916.0
594,920.0
595,905.0
596,905.0
597,911.0
598,915.0
599,911.0
600,906.0
601,905.0
602,904.0
603,915.0
604,918.0
605,906.0
606,920.0
607,925.0
608,913.0
609,909.0
610,912.0
611,906.0
612,903.0
613,904.0
614,904.0
615,925.0
616,909.0
617,918.0
618,913.0
619,909.0
620,914.0
621,925.0
622,917.0
623,908.0
624,923.0
625,923.0
626,909.0
627,916.0
628,905.0
629,904.0
630,918.0
631,911.0
632,901.0
633,909.0
634,909.0
635,893.0
636,916.0
637,914.0
638,911.0
639,923.0
640,910.0
641,920.0
642,898.0
643,904.0
644,919.0
645,915.0
646,899.0
647,915.0
648,910.0
649,904.0
650,908.0
651,902.0
652,905.0
653,896.0
654,900.0
655,913.0
656,920.0
657,909.0
658,901.0
659,913.0
660,908.0
661,908.0
662,897.0
663,894.0
664,915.0
665,927.0
666,913.0
667,906.0
668,903.0
669,911.0
670,909.0
671,916.0
672,904.0
673,901.0
674,911.0
675,904.0
676,926.0
677,901.0
678,910.0
679,896.0
680,916.0
681,911.0
682,906.0
683,912.0
684,903.0
685,911.0
686,897.0
687,912.0
688,914.0
689,916.0
690,908.0
691,898.0
692,897.0
693,906.0
694,905.0
695,915.0
696,913.0
697,907.0
698,898.0
699,903.0
700,906.0
701,914.0
702,922.0
703,907.0
704,902.0
705,888.0
706,916.0
707,903.0
708,912.0
709,913.0
710,898.0
711,905.0
712,909.0
713,927.0
714,918.0
715,919.0
716,918.0
717,918.0
718,907.0
719,904.0
720,889.0
721,896.0
722,900.0
723,910.0
724,891.0
725,902.0
726,909.0
727,904.0
728,918.0
729,915.0
730,901.0
731,913.0
732,908.0
733,900.0
734,902.0
735,897.0
736,921.0
737,916.0
738,911.0
739,927.0
740,900.0
741,912.0
742,919.0
743,904.0
744,908.0
745,918.0
746,901.0
747,908.0
748,919.0
749,914.0
750,908.0
751,908.0
752,909.0
753,891.0
754,918.0
755,919.0
756,922.0
757,906.0
758,914.0
759,904.0
760,910.0
761,904.0
762,907.0
763,900.0
764,918.0
765,902.0
766,905.0
767,903.0
768,896.0
769,913.0
770,911.0
771,910.0
772,905.0
773,902.0
774,907.0
775,917.0
776,908.0
777,912.0
778,905.0
779,908.0
780,902.0
781,906.0
782,916.0
783,898.0
784,904.0
785,903.0
786,909.0
787,908.0
788,908.0
789,903.0
790,911.0
791,916.0
792,894.0
793,904.0
794,912.0
795,915.0
796,904.0
797,911.0
798,905.0
799,915.0
800,911.0
801,907.0
802,910.0
803,917.0
804,921.0
805,907.0
806,911.0
807,919.0
808,900.0
809,907.0
810,915.0
811,913.0
812,904.0
813,909.0
814,899.0
815,919.0
816,914.0
817,907.0
818,914.0
819,915.0
820,916.0
821,915.0
822,912.0
823,910.0
824,913.0
825,900.0
826,906.0
827,890.0
828,911.0
829,916.0
830,918.0
831,898.0
832,910.0
833,912.0
834,906.0
835,915.0
836,903.0
837,926.0
838,900.0
839,904.0
840,911.0
841,913.0
842,911.0
843,907.0
844,893.0
845,909.0
846,925.0
847,916.0
848,898.0
849,898.0
850,903.0
851,908.0
852,912.0
853,902.0
854,913.0
855,900.0
856,900.0
857,903.0
858,915.0
859,918.0
860,921.0
861,901.0
862,912.0
863,908.0
864,904.0
865,901.0
866,910.0
867,902.0
868,914.0
869,924.0
870,916.0
871,900.0
872,915.0
873,925.0
874,905.0
875,896.0
876,918.0
877,914.0
878,904.0
879,912.0
880,910.0
881,905.0
882,907.0
883,899.0
884,902.0
885,908.0
886,893.0
887,896.0
888,915.0
889,909.0
890,900.0
891,914.0
892,906.0
893,915.0
894,906.0
895,907.0
896,914.0
897,914.0
898,912.0
899,915.0
900,926.0
901,905.0
902,909.0
903,912.0
904,909.0
905,909.0
906,900.0
907,911.0
908,904.0
909,920.0
910,911.0
911,907.0
912,919.0
913,920.0
914,913.0
915,911.0
916,906.0
917,909.0
918,908.0
919,906.0
920,902.0
921,903.0
922,917.0
923,907.0
924,909.0
925,914.0
926,908.0
927,899.0
928,905.0
929,916.0
930,906.0
931,919.0
932,914.0
933,913.0
934,910.0
935,909.0
936,906.0
937,904.0
938,917.0
939,901.0
940,908.0
941,914.0
942,924.0
943,910.0
944,912.0
945,911.0
946,912.0
