,0
0,VL53L0
1,92
2,94
3,93
4,96
5,91
6,96
7,92
8,94
9,94
10,92
11,92
12,94
13,93
14,94
15,91
16,96
17,93
18,94
19,95
20,92
21,92
22,92
23,95
24,89
25,92
26,94
27,94
28,91
29,94
30,92
31,94
32,90
33,96
34,93
35,92
36,91
37,91
38,91
39,90
40,91
41,92
42,94
43,91
44,95
45,93
46,93
47,94
48,94
49,93
50,90
51,93
52,92
53,92
54,94
55,93
56,91
57,92
58,90
59,90
60,93
61,91
62,93
63,92
64,92
65,91
66,92
67,92
68,92
69,93
70,91
71,89
72,91
73,91
74,92
75,91
76,92
77,92
78,90
79,94
80,92
81,93
82,91
83,90
84,92
85,91
86,93
87,94
88,92
89,92
90,89
91,89
92,92
93,93
94,92
95,93
96,93
97,93
98,93
99,90
100,94
101,91
102,89
103,93
104,90
105,90
106,92
107,92
108,94
109,92
110,91
111,92
112,92
113,92
114,92
115,90
116,89
117,91
118,92
119,89
120,92
121,85
122,90
123,92
124,91
125,88
126,89
127,92
128,91
129,89
130,90
131,91
132,91
133,93
134,94
135,91
136,93
137,90
138,92
139,88
140,91
141,90
142,91
143,92
144,93
145,90
146,90
147,93
148,90
149,90
150,93
151,88
152,88
153,91
154,89
155,93
156,90
157,88
158,92
159,88
160,89
161,90
162,91
163,91
164,91
165,93
166,90
167,91
168,91
169,92
170,87
171,92
172,90
173,94
174,91
175,92
176,90
177,91
178,93
179,90
180,89
181,90
182,93
183,89
184,89
185,90
186,88
187,92
188,92
189,90
190,90
191,93
192,91
193,88
194,91
195,89
196,92
197,88
198,91
199,90
200,92
201,93
202,93
203,90
204,92
205,92
206,88
207,90
208,92
209,90
210,94
211,89
212,93
213,88
214,91
215,90
216,90
217,93
218,91
219,92
220,94
221,90
222,91
223,89
224,92
225,91
226,90
227,91
228,92
229,90
230,89
231,92
232,90
233,92
234,92
235,92
236,93
237,92
238,89
239,90
240,93
241,91
242,89
243,93
244,91
245,91
246,93
247,91
248,89
249,88
250,89
251,90
252,92
253,91
254,90
255,92
256,91
257,90
258,91
259,87
260,90
261,87
262,90
263,91
264,91
265,89
266,91
267,91
268,92
269,92
270,93
271,92
272,91
273,89
274,91
275,88
276,93
277,93
278,89
279,91
280,89
281,91
282,92
283,92
284,90
285,87
286,91
287,89
288,89
289,91
290,88
291,92
292,93
293,91
294,93
295,91
296,91
297,92
298,85
299,92
300,91
301,90
302,90
303,90
304,90
305,94
306,89
307,89
308,90
309,89
310,89
311,91
312,90
313,92
314,90
315,89
316,89
317,91
318,91
319,91
320,88
321,90
322,90
323,90
324,90
325,90
326,93
327,89
328,89
329,91
330,89
331,93
332,91
333,91
334,88
335,89
336,91
337,93
338,91
339,89
340,90
341,91
342,92
343,91
344,91
345,88
346,90
347,90
348,92
349,89
350,90
351,89
352,91
353,90
354,92
355,91
356,92
357,91
358,90
359,89
360,95
361,90
362,93
363,91
364,90
365,89
366,92
367,92
368,90
369,89
370,90
371,91
372,90
373,92
374,90
375,87
376,90
377,91
378,91
379,90
380,90
381,92
382,92
383,89
384,92
385,90
386,90
387,91
388,90
389,92
390,93
391,92
392,91
393,94
394,89
395,90
396,91
397,92
398,92
399,88
400,90
401,89
402,88
403,91
404,90
405,88
406,92
407,90
408,91
409,89
410,89
411,91
412,88
413,89
414,88
415,93
416,88
417,90
418,90
419,93
420,93
421,91
422,89
423,93
424,92
425,92
426,90
427,88
428,90
429,88
430,88
431,87
432,90
433,90
434,89
435,90
436,92
437,89
438,92
439,91
440,90
441,89
442,91
443,90
444,88
445,90
446,92
447,92
448,91
449,93
450,91
451,91
452,91
453,88
454,91
455,89
456,88
457,91
458,91
459,92
460,90
461,92
462,91
463,90
464,86
465,90
466,90
467,91
468,91
469,90
470,90
471,90
472,91
473,94
474,89
475,90
476,90
477,89
478,92
479,90
480,93
481,90
482,92
483,87
484,88
485,91
486,89
487,92
488,91
489,89
490,93
491,90
492,91
493,91
494,89
495,90
496,93
497,91
498,90
499,88
500,91
501,91
502,88
503,91
504,90
505,90
506,89
507,90
508,88
509,90
510,92
511,88
512,91
513,88
514,88
515,89
516,89
517,90
518,89
519,92
520,92
521,90
522,88
523,90
524,87
525,93
526,91
527,91
528,90
529,88
530,89
531,89
532,90
533,91
534,88
535,90
536,92
537,87
538,89
539,91
540,90
541,90
542,88
543,89
544,89
545,88
546,91
547,94
548,88
549,89
550,89
551,90
552,90
553,90
554,90
555,92
556,88
557,90
558,89
559,93
560,90
561,90
562,91
563,87
564,88
565,88
566,89
567,90
568,94
569,91
570,87
571,90
572,90
573,89
574,90
575,90
576,91
577,89
578,92
579,88
580,88
581,91
582,90
583,90
584,90
585,92
586,88
587,93
588,90
589,87
590,90
591,91
592,86
593,90
594,92
595,88
596,90
597,89
598,89
599,90
600,89
601,88
602,89
603,90
604,92
605,90
606,88
607,87
608,87
609,90
610,90
611,93
612,89
613,87
614,90
615,89
616,93
617,90
618,89
619,89
620,85
621,90
622,89
623,91
624,89
625,89
626,91
627,91
628,89
629,89
630,87
631,92
632,91
633,90
634,91
635,88
636,90
637,89
638,91
639,88
640,88
641,91
642,92
643,90
644,90
645,90
646,88
647,88
648,93
649,91
650,91
651,88
652,90
653,91
654,93
655,90
656,91
657,87
658,89
659,87
660,91
661,90
662,89
663,88
664,89
665,91
666,91
667,88
668,90
669,89
670,89
671,87
672,91
673,87
674,88
675,87
676,91
677,91
678,88
679,91
680,90
681,91
682,91
683,92
684,87
685,88
686,90
687,88
688,91
689,90
690,93
691,90
692,89
693,90
694,92
695,91
696,89
697,88
698,89
699,89
700,90
701,92
702,90
703,89
704,88
705,90
706,91
707,93
708,93
709,90
710,89
711,88
712,89
713,89
714,90
715,90
716,92
717,88
718,90
719,89
720,92
721,93
722,88
723,91
724,88
725,90
726,89
727,87
728,91
729,93
730,92
731,90
732,89
733,89
734,92
735,89
736,88
737,87
738,88
739,89
740,90
741,90
742,90
743,90
744,89
745,92
746,89
747,89
748,88
749,90
750,91
751,91
752,87
753,89
754,91
755,93
756,89
757,88
758,89
759,89
760,87
761,88
762,90
763,89
764,91
765,91
766,88
767,89
768,93
769,92
770,92
771,90
772,89
773,91
774,88
775,88
776,90
777,90
778,93
779,92
780,87
781,93
782,87
783,89
784,91
785,91
786,93
787,90
788,89
789,88
790,89
791,88
792,90
793,90
794,92
795,93
796,88
797,90
798,91
799,92
800,92
801,90
802,88
803,88
804,92
805,88
806,92
807,90
808,92
809,91
810,90
811,90
812,88
813,89
814,90
815,90
816,88
817,88
818,91
819,89
820,90
821,91
822,90
823,93
824,90
825,92
826,91
827,88
828,91
829,89
830,87
831,90
832,92
833,88
834,88
835,92
836,89
837,89
838,89
839,91
840,91
841,86
842,90
843,87
844,88
845,92
846,86
847,89
848,89
849,91
850,89
851,87
852,89
853,89
854,90
855,88
856,90
857,89
858,90
859,91
860,90
861,90
862,89
863,87
864,89
865,90
866,91
867,93
868,90
869,90
870,89
871,87
872,89
873,92
874,92
875,91
876,89
877,87
878,89
879,90
880,90
881,89
882,93
883,93
884,90
885,90
886,92
887,91
888,86
889,90
890,89
891,89
892,90
893,88
894,89
895,88
896,91
897,90
898,89
899,91
900,90
901,88
902,88
903,90
904,91
905,89
906,91
907,90
908,88
909,89
910,88
911,91
912,92
913,88
914,92
915,90
916,90
917,89
918,91
919,92
920,90
921,88
922,90
923,92
924,89
925,87
926,88
927,90
928,88
929,90
930,87
931,90
932,90
933,86
934,87
935,90
936,88
937,89
938,92
939,90
940,88
941,94
942,91
943,88
944,91
945,92
946,91
947,90
948,92
