,0
0,99
1,102
2,99
3,100
4,99
5,97
6,101
7,98
8,98
9,99
10,100
11,101
12,100
13,99
14,100
15,99
16,98
17,100
18,101
19,99
20,102
21,103
22,99
23,100
24,100
25,102
26,101
27,100
28,97
29,101
30,97
31,100
32,100
33,99
34,100
35,101
36,103
37,101
38,101
39,100
40,101
41,100
42,102
43,99
44,99
45,99
46,101
47,100
48,98
49,99
50,101
51,101
52,99
53,101
54,100
55,95
56,98
57,98
58,104
59,102
60,99
61,100
62,99
63,99
64,101
65,99
66,98
67,99
68,98
69,97
70,96
71,98
72,98
73,99
74,102
75,99
76,98
77,98
78,97
79,99
80,97
81,100
82,100
83,99
84,102
85,101
86,100
87,99
88,102
89,99
90,101
91,98
92,100
93,97
94,101
95,97
96,102
97,100
98,100
99,100
100,99
101,100
102,101
103,99
104,102
105,100
106,100
107,98
108,102
109,100
110,103
111,100
112,100
113,101
114,100
115,102
116,101
117,102
118,102
119,100
120,99
121,103
122,100
123,95
124,100
125,102
126,101
127,99
128,100
129,98
130,100
131,98
132,99
133,102
134,101
135,98
136,99
137,100
138,100
139,102
140,98
141,101
142,101
143,97
144,100
145,100
146,102
147,99
148,101
149,100
150,101
151,98
152,97
153,101
154,100
155,101
156,97
157,100
158,98
159,99
160,98
161,100
162,97
163,102
164,101
165,98
166,101
167,100
168,97
169,102
170,99
171,101
172,99
173,102
174,99
175,100
176,100
177,102
178,100
179,98
180,98
181,99
182,101
183,99
184,99
185,100
186,99
187,99
188,101
189,100
190,101
191,102
192,100
193,101
194,103
195,99
196,99
197,98
198,100
199,100
200,101
201,101
202,100
203,103
204,97
205,99
206,98
207,97
208,99
209,99
210,101
211,99
212,99
213,101
214,97
215,101
216,100
217,98
218,101
219,105
220,101
221,99
222,101
223,100
224,100
225,102
226,103
227,99
228,102
229,99
230,97
231,101
232,98
233,102
234,96
235,98
236,100
237,97
238,100
239,98
240,99
241,100
242,100
243,99
244,99
245,98
246,101
247,99
248,99
249,99
250,101
251,99
252,102
253,99
254,101
255,101
256,100
257,99
258,102
259,103
260,99
261,101
262,97
263,99
264,98
265,101
266,101
267,102
268,100
269,100
270,101
271,100
272,101
273,101
274,102
275,99
276,99
277,100
278,100
279,103
280,104
281,100
282,100
283,99
284,99
285,99
286,101
287,101
288,100
289,100
290,99
291,102
292,100
293,100
294,99
295,100
296,98
297,100
298,100
299,99
300,98
301,100
302,101
303,99
304,98
305,101
306,103
307,102
308,98
309,100
310,100
311,99
312,100
313,99
314,100
315,100
316,98
317,99
318,98
319,100
320,102
321,98
322,102
323,98
324,97
325,99
326,98
327,102
328,100
329,100
330,102
331,100
332,99
333,100
334,98
335,99
336,100
337,102
338,100
339,96
340,99
341,100
342,99
343,99
344,96
345,98
346,98
347,99
348,99
349,99
350,98
351,98
352,99
353,99
354,98
355,98
356,99
357,100
358,98
359,98
360,101
361,97
362,99
363,101
364,99
365,98
366,101
367,97
368,98
369,99
370,98
371,97
372,99
373,99
374,98
375,100
376,99
377,97
378,97
379,101
380,97
381,100
382,99
383,101
384,98
385,98
386,98
387,97
388,99
389,98
390,100
391,98
392,100
393,100
394,96
395,99
396,97
397,99
398,100
399,99
400,99
401,100
402,100
403,98
404,96
405,101
406,96
407,100
408,102
409,98
410,99
411,102
412,99
413,98
414,100
415,100
416,99
417,99
418,97
419,98
420,96
421,95
422,98
423,98
424,95
425,100
426,96
427,102
428,99
429,100
430,101
431,101
432,97
433,101
434,98
435,101
436,99
437,101
438,99
439,97
440,101
441,99
442,101
443,99
444,99
445,101
446,101
447,96
448,102
449,99
450,102
451,100
452,98
453,100
454,97
455,99
456,102
457,101
458,102
459,103
460,101
461,97
462,98
463,100
464,100
465,100
466,102
467,101
468,100
469,102
470,99
471,100
472,98
473,101
474,101
475,100
476,97
477,99
478,103
479,102
480,101
481,99
482,102
483,101
484,101
485,99
486,101
487,97
488,102
489,97
490,100
491,101
492,100
493,98
494,99
495,101
496,101
497,99
498,99
499,100
500,103
501,99
502,98
503,100
504,104
505,95
506,104
507,103
508,100
509,101
510,100
511,101
512,99
513,97
514,103
515,100
516,103
517,100
518,100
519,97
520,99
521,101
522,100
523,103
524,102
525,101
526,99
527,99
528,101
529,102
530,102
531,99
532,102
533,99
534,99
535,100
536,102
537,101
538,101
539,99
540,99
541,103
542,100
543,101
544,104
545,99
546,100
547,97
548,99
549,97
550,100
551,100
552,101
553,99
554,102
555,100
556,99
557,97
558,100
559,98
560,99
561,100
562,104
563,99
564,98
565,102
566,101
567,101
568,99
569,100
570,101
571,100
572,100
573,97
574,99
575,101
576,102
577,100
578,100
579,102
580,100
581,100
582,103
583,100
584,103
585,99
586,104
587,101
588,99
589,100
590,101
591,101
592,102
593,101
594,100
595,103
596,98
597,97
598,99
599,100
600,100
601,96
602,104
603,101
604,104
605,101
606,103
607,99
608,98
609,103
610,100
611,99
612,100
613,98
614,98
615,103
616,101
617,101
618,103
619,105
620,98
621,98
622,101
623,99
624,98
625,96
626,96
627,102
628,100
629,101
630,101
631,100
632,99
633,100
634,103
635,99
636,100
637,101
638,101
639,99
640,99
641,100
642,99
643,100
644,102
645,100
646,98
647,101
648,99
649,100
650,100
651,100
652,100
653,100
654,99
655,100
656,101
657,98
658,101
659,100
660,97
661,97
662,98
663,98
664,101
665,98
666,100
667,106
668,103
669,99
670,97
671,99
672,102
673,100
674,100
675,100
676,100
677,99
678,101
679,101
680,99
681,99
682,100
683,101
684,101
685,96
686,100
687,104
688,99
689,99
690,99
691,101
692,100
693,101
694,101
695,99
696,100
697,102
698,101
699,103
700,97
701,102
702,103
703,101
704,98
705,102
706,98
707,101
708,101
709,101
710,98
711,104
712,100
713,101
714,101
715,103
716,99
717,98
718,101
719,100
720,100
721,99
722,100
723,100
724,101
725,101
726,101
727,101
728,102
729,102
730,97
731,101
732,100
733,100
734,101
735,98
736,101
737,101
738,98
739,101
740,100
741,102
742,100
743,99
744,101
745,98
746,101
747,101
748,100
749,102
750,102
751,100
752,99
753,101
754,102
755,102
756,97
757,100
758,99
759,98
760,101
761,98
762,101
763,99
764,97
765,98
766,98
767,99
768,99
769,96
770,101
771,100
772,98
773,101
774,100
775,101
776,99
777,102
778,98
779,101
780,101
781,102
782,102
783,101
784,100
785,99
786,101
787,98
788,99
789,103
790,101
791,98
792,98
793,103
794,99
795,101
796,101
797,102
798,99
799,99
800,102
801,102
802,101
803,100
804,101
805,101
806,102
807,101
808,105
809,97
810,99
811,100
812,97
813,99
814,99
815,101
816,98
817,100
818,101
819,98
820,101
821,101
822,98
823,103
824,103
825,101
826,101
827,101
828,100
829,99
830,97
831,99
832,101
833,100
834,97
835,99
836,101
837,101
838,102
839,100
840,100
841,100
842,102
843,101
844,100
845,101
846,99
847,100
848,100
849,101
850,100
851,97
852,99
853,102
854,100
855,99
856,98
857,99
858,99
859,100
860,100
861,101
862,102
863,104
864,102
865,99
866,101
867,95
868,99
869,103
870,101
871,96
872,101
873,101
874,100
875,100
876,100
877,99
878,101
879,102
880,100
881,98
882,98
883,99
884,102
885,98
886,101
887,101
888,103
889,101
890,101
891,99
892,99
893,100
894,99
895,102
896,101
897,100
898,100
899,100
900,102
901,99
902,101
903,99
904,102
905,101
906,100
907,99
908,103
909,101
910,102
911,104
912,103
913,99
914,100
915,99
916,99
917,102
918,102
919,104
920,100
921,100
922,100
923,98
924,101
925,101
926,100
927,97
928,101
929,99
930,101
931,98
932,100
933,103
934,100
935,100
936,101
937,99
938,101
939,100
940,98
941,101
942,101
943,103
944,98
945,99
946,100
947,101
948,100
